"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CFD",0,4.41652395347264,0.937,0.057,0,"0","CFD"
"APOD",0,3.54461624117312,0.823,0.018,0,"0","APOD"
"DCN",0,3.14610157392711,0.996,0.258,0,"0","DCN"
"FBLN1",0,2.65983849366308,0.98,0.215,0,"0","FBLN1"
"PLA2G2A",0,2.54167020810765,0.737,0.012,0,"0","PLA2G2A"
"SFRP2",0,2.49569838604452,0.919,0.127,0,"0","SFRP2"
"MFAP5",0,2.285017913651,0.87,0.029,0,"0","MFAP5"
"SLPI",0,2.1719691620491,0.829,0.035,0,"0","SLPI"
"IGFBP6",0,2.08350091711325,0.984,0.597,0,"0","IGFBP6"
"PI16",0,1.99581889544287,0.85,0.01,0,"0","PI16"
"SERPINF1",0,1.93171408436964,0.966,0.208,0,"0","SERPINF1"
"C3",0,1.85525963274452,0.889,0.029,0,"0","C3"
"CCDC80",0,1.71870537592877,0.973,0.47,0,"0","CCDC80"
"FBLN2",0,1.70112876954861,0.888,0.063,0,"0","FBLN2"
"C1R",0,1.48222656357534,0.984,0.687,0,"0","C1R"
"TNXB",0,1.41874261694427,0.849,0.067,0,"0","TNXB"
"MGST1",0,1.41421805078668,0.863,0.057,0,"0","MGST1"
"C1S",0,1.40852525321713,0.973,0.488,0,"0","C1S"
"ITM2A",0,1.35361604377501,0.877,0.128,0,"0","ITM2A"
"PLAT",0,1.3397670909656,0.752,0.045,0,"0","PLAT"
"SFRP1",0,1.33579658066206,0.731,0.082,0,"0","SFRP1"
"TIMP3",0,1.2771758315383,0.983,0.725,0,"0","TIMP3"
"IGF1",0,1.26351360978266,0.622,0.013,0,"0","IGF1"
"ABI3BP",0,1.15629368715652,0.853,0.176,0,"0","ABI3BP"
"GAS1",0,1.14418264512342,0.757,0.08,0,"0","GAS1"
"CHRDL1",0,1.10903410278934,0.813,0.045,0,"0","CHRDL1"
"PDGFRL",0,1.09831837386637,0.819,0.165,0,"0","PDGFRL"
"ABCA8",0,1.06058105782778,0.783,0.057,0,"0","ABCA8"
"LEPR",0,1.06022415667713,0.706,0.036,0,"0","LEPR"
"SCARA5",0,1.0579740996067,0.759,0.016,0,"0","SCARA5"
"LRRN4CL",0,0.857488927015122,0.703,0.009,0,"0","LRRN4CL"
"CD34",0,0.846265068777607,0.723,0.061,0,"0","CD34"
"TINAGL1",0,-1.04165688554853,0.008,0.734,0,"0","TINAGL1"
