"Feature","Gain","Cover","Frequency"
"DCN",0.206372365591178,0.0430381412776498,0.0164551010813352
"BGN",0.0947430840346145,0.0615144030554235,0.0230371415138693
"S100A10",0.0709531780622,0.0155249070530434,0.00893276915843912
"SOST",0.0603677593085393,0.0312483781309311,0.0122237893747062
"DLX6-AS1",0.0568126136280887,0.037457895699085,0.0112834978843441
"EFEMP1",0.0565412147543844,0.0185714916402394,0.00564174894217207
"MGP",0.0506105924565998,0.0371026824241366,0.0380818053596615
"FBLN1",0.0491269344169819,0.0205967745340649,0.0145745181006112
"MYH10",0.0276076863450035,0.0289250694623831,0.0145745181006112
"OMD",0.0261100784633451,0.0141617484370586,0.00470145745181006
"CFD",0.0216956036620698,0.0231087133241991,0.0164551010813352
"LMO2",0.0129962732056241,0.0176339971841134,0.0108133521391631
"FABP4",0.0105835280484323,0.0102758295965196,0.00423131170662906
"PTGIS",0.0105706996893411,0.0110174969954072,0.00517160319699107
"DLX5",0.00941904373664341,0.0225685688005522,0.0075223319228961
"SUCNR1",0.00770751777508898,0.0155575139066999,0.0103432063939821
"SPARCL1",0.00754124834254699,0.00612036531083846,0.0164551010813352
"CALD1",0.00660360312788079,0.0186633697090428,0.0126939351198872
"C11orf96",0.00638773762958717,0.00913377966042103,0.0117536436295252
"PI16",0.00604719821377734,0.00915614085930096,0.00893276915843912
"LUM",0.00514301736336676,0.00397447920381838,0.00705218617771509
"SPINT2",0.00512935987371913,0.00667663910191659,0.00517160319699107
"VCAN",0.00508657178458854,0.00664451320090097,0.00987306064880113
"ACTA2",0.00495855578398159,0.00664453799227421,0.0103432063939821
"RAMP1",0.00494342215438374,0.00838263018105268,0.0117536436295252
"IGFBP6",0.00477401792139011,0.00615443113681026,0.00376116596144805
"FGL2",0.00401842717153117,0.00712403909826525,0.00658204043253409
"CCL21",0.00388890467744688,0.0105786301897284,0.00282087447108604
"COL8A1",0.00388241980613419,0.00754470531727843,0.0075223319228961
"FRZB",0.00387189751632671,0.0070052648686316,0.0173953925716972
"NR4A1",0.00364284620622128,0.00494701812537491,0.0079924776680771
"OGN",0.00331133856228218,0.0037443049385219,0.00423131170662906
"JUNB",0.00294349235464164,0.0034511175101798,0.0103432063939821
"APOD",0.00276328366385492,0.00528234623984589,0.00376116596144805
"CCL19",0.00272354310878552,0.00882355962898519,0.00282087447108604
"STEAP4",0.00267799384715877,0.00518161455187342,0.00282087447108604
"PDE5A",0.00263523910696916,0.00774275740026528,0.00564174894217207
"GAPDH",0.00260049430313551,0.00480328363126907,0.00423131170662906
"CFH",0.00256262068967793,0.00203468269793628,0.00517160319699107
"RERGL",0.00243216262799802,0.00682752435774191,0.00188058298072402
"IGFBP7",0.00233597609476189,0.00605043132606016,0.00329102021626704
"CCL8",0.00231602563998288,0.00289432372004792,0.000470145745181006
"FOS",0.00230350421096522,0.00375588405928674,0.00423131170662906
"PLAC9",0.00228256207450428,0.0015242055458098,0.00329102021626704
"GSN",0.00226556589656827,0.00550819936878629,0.00846262341325811
"TGM2",0.00212978278782228,0.00490206485795173,0.00423131170662906
"MFAP5",0.0020307418248718,0.00429149021216953,0.00423131170662906
"MYL9",0.00179662427145779,0.00114209316605564,0.00470145745181006
"FOSB",0.00167438282969018,0.000768739113629613,0.00141043723554302
