"Feature","Gain","Cover","Frequency"
"DCN",0.199230599857884,0.0349249460065021,0.0154534363562424
"DLX6-AS1",0.081941278615514,0.0400809077876143,0.0122000813338756
"BGN",0.0736550225277382,0.0537853492599309,0.0264335095567304
"S100A10",0.0590211618398299,0.0173638819184475,0.010980073200488
"FBLN1",0.0582838526704998,0.0313720717496357,0.0203334688897926
"OMD",0.0543751376314079,0.02329300414423,0.00488003253355022
"SOST",0.050697204255319,0.026637263824666,0.0101667344448963
"MGP",0.0384442912090508,0.0404118349607857,0.0483936559577064
"RERGL",0.0281167870595285,0.008858889428454,0.00366002440016267
"CFD",0.0234152333169393,0.0292281000710586,0.0158601057340382
"COL8A1",0.0227067738498506,0.0220460736798619,0.00894672631150874
"SPINT2",0.0189034921712012,0.0205372132046809,0.0101667344448963
"PTGIS",0.0162642262549562,0.0107655367647253,0.00610004066693778
"OGN",0.0155098197839327,0.0095733044116111,0.00569337128914193
"CALD1",0.0133922736572106,0.0115220062371366,0.0105734038226922
"LMO2",0.01212375071798,0.0219326551246375,0.0101667344448963
"EFEMP1",0.0098366770908727,0.00548861272399306,0.00528670191134608
"MYH10",0.00980142627119993,0.0191784091708952,0.0183001220008133
"NR4A1",0.00664080433780863,0.00586090487853498,0.00691337942252948
"TPM2",0.00605997393035123,0.00536879761023274,0.0122000813338756
"JUNB",0.00543011721770216,0.00673309940156956,0.0113867425782839
"SUCNR1",0.00524521634567956,0.0145143850269422,0.00976006506710045
"FGL2",0.00519578239205725,0.0108036256683719,0.00813338755591704
"STEAP4",0.00500402608600599,0.00316925007076388,0.00366002440016267
"DLX5",0.00483711399732301,0.0206604093478076,0.00976006506710045
"TSPAN13",0.00483607094385324,0.00380737710842152,0.00162667751118341
"SPARCL1",0.00481731752055127,0.0036489797572765,0.00854005693371289
"SFRP2",0.0042084674660228,0.00607451930239862,0.00569337128914193
"TGM2",0.00398572230065231,0.00922165172978467,0.00569337128914193
"ITGBL1",0.00388467335464184,0.00418371447757889,0.00691337942252948
"ACTA2",0.00381095639827152,0.00289352563098781,0.00732004880032534
"RAMP1",0.00345418185358487,0.00489990540117466,0.00935339568930459
"PTMA",0.00340037106412173,0.00794482957319524,0.0162667751118341
"GAPDH",0.00339881825067706,0.00550279461977587,0.00488003253355022
"FOS",0.00313247903449531,0.00495675715674339,0.00935339568930459
"C11orf96",0.00312328759945492,0.00706404121915623,0.0117934119560797
"FABP4",0.00261536264080217,0.00298742714690576,0.000813338755591704
"FBLN5",0.00246580113830713,0.00284381516348784,0.00122000813338756
"IGFBP7",0.00244743721470429,0.00409131492949802,0.00244001626677511
"MYC",0.00243860596218137,0.000810845559076152,0.00162667751118341
"APOE",0.00243271560190802,0.00524433960666038,0.00488003253355022
"GSN",0.00241358923214554,0.00484858069198752,0.00854005693371289
"PI16",0.00239704397098837,0.00616610364469833,0.00447336315575437
"APOD",0.0023909679352312,0.00808557826834361,0.00406669377795852
"ITGA8",0.00229483011573949,0.00382034778902797,0.00284668564457096
"MYH11",0.00226897575194208,0.00348529424677335,0.00691337942252948
"DPT",0.00225998315520176,0.00222834868039351,0.00325335502236682
"CFH",0.00223060893467626,0.00175748145837721,0.00772671817812119
"CCL19",0.0021342848413909,0.00788281535616578,0.00162667751118341
"LRRN4CL",0.00197582248299609,0.00116630113620975,0.000406669377795852
"FRZB",0.00195616082537264,0.0109812258140799,0.0187067913786092
"SLIT3",0.00182611738614192,0.00127943740507601,0.00325335502236682
"VCAN",0.00182053495599425,0.00444779294614289,0.0117934119560797
"ZFP36",0.00178530766984145,0.00215610030530779,0.00691337942252948
"AEBP1",0.00157235175074952,0.00352735666841918,0.00366002440016267
"WISP2",0.00156826040841575,0.00333413306730411,0.00325335502236682
"MT-CO1",0.00156105615975639,0.00584149187559504,0.0113867425782839
"PLXDC2",0.00151903755844502,0.000324468871645296,0.000813338755591704
"LUM",0.00145945178278736,0.00266129022297461,0.00610004066693778
"HSPA1A",0.00143129980952562,0.00435530400611072,0.00325335502236682
"IGFBP2",0.00141537599284489,0.00250427402324102,0.00894672631150874
"CCL21",0.00140539309361812,0.00686678826820888,0.00203334688897926
"ATF3",0.00139180238611828,0.000983411610775675,0.00244001626677511
"TINAGL1",0.00134146358859687,0.0083059230213736,0.00244001626677511
"MFAP4",0.00131694864107154,0.0010621171051561,0.00366002440016267
"PFN2",0.00127978801642238,0.00723100707867102,0.00325335502236682
"MFAP5",0.00126680918044172,0.00270520302750321,0.00569337128914193
"CLU",0.00126265182459008,0.00439891812558702,0.00366002440016267
"SCARA5",0.00118586643625816,0.000889391108983979,0.00162667751118341
"EGR1",0.00106635305059347,0.00108346973038413,0.00569337128914193
"C3",0.0010522497910062,0.00196318149108471,0.00284668564457096
"RPS5",0.00102855991273602,0.00319250265632207,0.00122000813338756
"MYL9",0.00101278756816051,0.00177536808612135,0.00691337942252948
"VIM",0.000999778417815137,0.00926103910491506,0.00528670191134608
"EDNRA",0.000986800279862605,0.0015534238883654,0.00162667751118341
"ID4",0.00097438904047371,0.00443295662805447,0.00244001626677511
"JUND",0.000953952970494026,0.000494707796100598,0.00244001626677511
"TXNIP",0.000931546167653631,0.00111146878448292,0.00122000813338756
"IER2",0.000897985274094836,0.00149819461196742,0.00528670191134608
"GRIK1",0.000858785210672857,0.00826268904650933,0.00122000813338756
"FLNA",0.000853326630659937,0.000807704789647183,0.00284668564457096
"SERTAD4-AS1",0.000844815972487435,0.000656713698959004,0.000813338755591704
"TIMP1",0.000781540170814279,0.00381814960128348,0.00284668564457096
"RGS5",0.00077031921897241,0.0014805320742855,0.00284668564457096
"SELENOP",0.000756459670922432,0.000521671673097782,0.000813338755591704
"PHLDA1",0.000749666760270986,0.000408361272981673,0.000813338755591704
"MAP1B",0.000727526654037178,0.00261308568950751,0.00447336315575437
"PLN",0.000705374731184233,0.00144954327128981,0.00162667751118341
"GMDS",0.000696844428505657,0.00150187615693798,0.00284668564457096
"STAT1",0.000687384601647496,0.00521391278309916,0.000813338755591704
"EDIL3",0.00068568859271692,0.00149964044287945,0.00569337128914193
"SFRP4",0.000675071185915756,0.00275981479772564,0.00366002440016267
"TAGLN",0.000667421695024796,0.00343237451669402,0.00569337128914193
"SDK2",0.000658284407023994,0.00278119289813433,0.000813338755591704
"NEAT1",0.000650674404581794,0.00245444243422342,0.00244001626677511
"NDUFA4L2",0.000637245041299368,0.000905900856604475,0.00284668564457096
"GPX3",0.000628818944249463,0.0012303121040013,0.00447336315575437
"ST6GAL2",0.00061614823783109,0.0039006062016068,0.000813338755591704
"IGKC",0.00061499010943741,0.00139290401228791,0.000813338755591704
