"Feature","Gain","Cover","Frequency"
"MYH11",0.160021187436371,0.0473277261620644,0.0101540023692672
"RAMP1",0.0803482070815728,0.024937875576318,0.00592316804873921
"DLX6-AS1",0.0712132435654463,0.0354605618942721,0.00558470130309697
"CFH",0.067734125133301,0.0365980373829426,0.0106617024877306
"DSTN",0.0472291491089683,0.0214798968018102,0.00693856828566593
"ACTA2",0.0461155772345557,0.0311350862383915,0.0137079031985107
"LMO2",0.0265718169502528,0.0400226768367693,0.00710780165848705
"MYL9",0.0256506394751371,0.0231435107285897,0.0123540362159418
"PLN",0.0211884565813214,0.0186832443846952,0.00626163479438145
"MYH10",0.0186752292871843,0.0120702150273181,0.00795396852259266
"STEAP4",0.017693805350584,0.0184914135348102,0.00389236757488577
"CLU",0.0139227817739587,0.00711455678878033,0.00795396852259266
"C12orf75",0.0135194627228034,0.0130393721971869,0.00456930106617025
"SUCNR1",0.0128427569632226,0.0234752869043346,0.0025385005923168
"FRZB",0.0109923382315997,0.0294466509784439,0.00880013538669826
"SPARCL1",0.00935882231972227,0.00629059233237147,0.0106617024877306
"MFAP4",0.00891985188191651,0.0116316051879071,0.00643086816720257
"PPP1R14A",0.00750736718195514,0.0116717470940843,0.00643086816720257
"SERPINF1",0.00749239074390606,0.00673098596503195,0.00203080047385344
"LUM",0.00690659429704336,0.0111421778519418,0.00643086816720257
"IGFBP4",0.00678685763052902,0.00907731818363824,0.00592316804873921
"DLX5",0.00583805316179735,0.00966555586111164,0.00338466745642241
"SOST",0.00576415666518642,0.0172758127735159,0.00507700118463361
"PTN",0.00544175065409126,0.0121280093664822,0.00744626840412929
"ADH1B",0.00531388718481414,0.00404854269076193,0.00575393467591809
"FLNA",0.00527109764316216,0.00562546276662978,0.00270773396513793
"PGF",0.00468846063488718,0.006270563538262,0.00203080047385344
"LMOD1",0.00455150830222699,0.00794515566320198,0.00490776781181249
"TIMP1",0.00441283322130151,0.00818103234072983,0.00473853443899137
"CALD1",0.00432510402605855,0.00428990940423625,0.00812320189541378
"FHL1",0.00420246936117624,0.00317323585850885,0.00558470130309697
"IGKC",0.00411569951860403,0.00762814356194176,0.00372313420206465
"IFITM2",0.00378362785087264,0.00413229431336469,0.00541546793027585
"RGS16",0.00345757078525868,0.00542591916573295,0.00220003384667456
"C2orf40",0.00341431498393044,0.00765718594578518,0.00575393467591809
"MT2A",0.00329582446656141,0.00558521593143794,0.00440006769334913
"IGLC2",0.00313375688657718,0.00424210814842081,0.00338466745642241
"JUN",0.00313262988721186,0.00381337498673279,0.00423083432052801
"NDUFA4L2",0.00307552686279493,0.00266461845790186,0.00220003384667456
"THSD4",0.00287043070306704,0.00524158605606629,0.00389236757488577
"APOE",0.00281841788526365,0.0073220089457253,0.00389236757488577
"PHLDA2",0.002795096777602,0.0049281907267807,0.000507700118463361
"MGP",0.00273643618984205,0.00214025327329759,0.00846166864105602
"PDE5A",0.00269012065170481,0.00449823659421432,0.00626163479438145
"TAGLN",0.00245358076656542,0.00467423627901002,0.00676933491284481
"SFRP2",0.00242744437608555,0.00482121465945186,0.00287696733795905
"VIM",0.00234813665775135,0.0073389006433558,0.00643086816720257
"C1R",0.00232164035615918,0.0017466318660374,0.00287696733795905
"FGL2",0.002173990638086,0.000977164740963709,0.00203080047385344
"SULF1",0.00215973131431196,0.00143776242026766,0.00321543408360129
"IGFBP5",0.00211986192697878,0.00121714108643943,0.00372313420206465
"ATP1B1",0.00204146974176813,0.00402988781093838,0.00270773396513793
"TPM2",0.00198874707191802,0.00584404864152488,0.00761550177695041
"CCDC102B",0.00198852834344793,0.00418009556918013,0.00152310035539008
"FOS",0.00193010174714642,0.00136561095787559,0.00220003384667456
"DCN",0.00192140701351081,0.00443726627862388,0.00406160094770689
"OGN",0.00187221083250042,0.00111942957187852,0.00355390082924353
"ASPN",0.00178007752658782,0.00166663192414243,0.00338466745642241
"SPARC",0.00172655121116582,0.00125752856866991,0.00287696733795905
"PCOLCE",0.00172554016127649,0.00156418642466045,0.00135386698256896
"IGFBP6",0.00172321944851614,0.00716723537004582,0.00524623455745473
"BST2",0.00169421866286038,0.00143062115763935,0.00203080047385344
"RGS5",0.00163931338567673,0.00177809745431351,0.00541546793027585
"JUNB",0.00163031129976773,0.00477664746576734,0.00321543408360129
"ITM2B",0.00161638480761054,0.00267930758309036,0.00287696733795905
"S100A4",0.00158769826719066,0.000933853533531873,0.00355390082924353
"RPL21",0.00153184311515967,0.00150907105440234,0.00186156710103232
"COL3A1",0.00151971667091844,0.00303920801380028,0.00456930106617025
"ZFP36",0.00150292344490166,0.00481484771673988,0.00186156710103232
"COL1A2",0.00145483026097653,0.00233744861905793,0.00270773396513793
"GREM2",0.00141848354673598,0.0150932658465906,0.00118463360974784
"AEBP1",0.00135609312774317,0.00133962919880737,0.00321543408360129
"THY1",0.00134477352937783,0.0019444734152609,0.000846166864105602
"AGT",0.00133872187758709,0.0024557827837924,0.00236926721949568
"CYR61",0.00130684869599543,0.00259641178776356,0.00507700118463361
"RPL10",0.00129705859676874,0.000584857112890074,0.00118463360974784
"ITGA8",0.00127854582279067,0.0017778774078642,0.00355390082924353
"COL15A1",0.00119286556064461,0.00156263778482777,0.000846166864105602
"SPINT2",0.00118587720448841,0.000816391591231901,0.00186156710103232
"CCDC80",0.00114431990296818,0.00164596934004699,0.00287696733795905
"CSRP2",0.00113441791618981,0.000625138787793815,0.00236926721949568
"GSN",0.00112866020001336,0.0013286075534767,0.0025385005923168
"TMSB10",0.00109536645270794,0.00167695712655984,0.00101540023692672
"TSPO",0.00109260655976678,0.00491253007134024,0.00152310035539008
"VCAM1",0.00108265386047875,0.00137087649725829,0.00135386698256896
"RPL9",0.00106088034598226,0.00271476234765657,0.00101540023692672
"S100A10",0.00105672807462034,0.000968621399509262,0.00406160094770689
"SOCS3",0.00092637784604029,0.00153118051123921,0.00118463360974784
"EPS8",0.000926159486836044,0.000700434724486194,0.00118463360974784
"ANGPT2",0.000923791261870033,0.000680547748498124,0.000846166864105602
"IGFBP7",0.000911478830730478,0.00139563025895164,0.00389236757488577
"SVIL",0.000911475076527699,0.000815029504881788,0.00152310035539008
"CTGF",0.000852276283795612,0.00210249217835745,0.00473853443899137
"CCL21",0.000847840785528971,0.00153533715236302,0.000676933491284481
"TCEAL4",0.000843576503526764,0.00277820880062013,0.0025385005923168
"CNN1",0.000827852302137319,0.00232486275849397,0.0016923337282112
