"Feature","Gain","Cover","Frequency"
"MYH11",0.180847781838583,0.0547779099655224,0.0177871570696412
"RAMP1",0.107198816779214,0.0299256218367385,0.00994874886946036
"DLX6-AS1",0.0769133323407184,0.0389144193257761,0.00783840820018089
"DSTN",0.064423161005148,0.0241657279349065,0.0125113053964426
"ACTA2",0.0491492677924849,0.0457200985211841,0.0271329514621646
"CFH",0.038108534447188,0.0310124758374956,0.0153753391618933
"C12orf75",0.0282537730846547,0.02966821419354,0.0114561350618028
"MYH10",0.0260957822758665,0.0270125407249191,0.0128127826349111
"MYL9",0.0252947709590177,0.0239579578456882,0.0185408501658125
"SUCNR1",0.0210306694073437,0.0300108471238211,0.00602954476936991
"PLN",0.0190515278576203,0.0202587673833271,0.00904431715405487
"LMO2",0.0151587684895383,0.029304763854669,0.00934579439252336
"SPARCL1",0.0142659492387975,0.0100765887878268,0.020048236358155
"CLU",0.0128068898900963,0.0150488313326773,0.015224600542659
"DLX5",0.0116941162005203,0.0343345199588571,0.0066324992463069
"CALD1",0.0115433461422177,0.0174020155029958,0.0173349412119385
"SOST",0.0108941912563368,0.0388887925554242,0.00994874886946036
"APOE",0.0108157436775856,0.0244902736507279,0.0135664757310823
"PPP1R14A",0.0107657166710459,0.018738095570856,0.0155260777811275
"ADH1B",0.0106269477778723,0.0105458843271776,0.0120590895387398
"MGP",0.0102422571311776,0.0103493019868093,0.0227615315043714
"FRZB",0.00861498700087036,0.0253204147796487,0.0208019294543262
"STEAP4",0.00686385779515344,0.0155368709027476,0.00572806753090142
"RGS5",0.00665798842625714,0.00855722353150046,0.0100994874886946
"TAGLN",0.00624911497013674,0.0128272999024061,0.0161290322580645
"IGKC",0.00618799549009214,0.00664822148902065,0.00678323786554115
"JUNB",0.00582506342586147,0.0152702755515924,0.00798914681941513
"TIMP1",0.00513390341273174,0.0105432371196267,0.0104009647271631
"SERPINF1",0.00504484428849081,0.00964258377382912,0.0031655110039192
"TPM2",0.00498933855000366,0.0104108375003652,0.0167319867350015
"LUM",0.00492049728974946,0.0131986757812594,0.0120590895387398
"RGS16",0.00491009000750385,0.0107049509439136,0.00678323786554115
"IGFBP7",0.00482987576154983,0.00524901983464783,0.0141694302080193
"ITGA8",0.00481817924245806,0.00888817015014851,0.00919505577328912
"ZFP36",0.00445691696029563,0.00901900910707253,0.00919505577328912
"FOS",0.00445185165155825,0.00408735311094396,0.0114561350618028
"OGN",0.00444944246452723,0.00422852775683924,0.0114561350618028
"COL1A2",0.00427725554497567,0.00497668779495425,0.00994874886946036
"IGFBP5",0.00410005857968772,0.00730086719082602,0.0122098281579741
"FLNA",0.00397238285955059,0.00501839080265667,0.00648176062707266
"PDE5A",0.00392401759046503,0.00585690199657011,0.0100994874886946
"PLAC9",0.0037682752611356,0.00341764337417098,0.00527585167319867
"ATP1B1",0.00368158300226036,0.0157792431790251,0.00542659029243292
"DCN",0.00360834798366069,0.00814820712749249,0.00829062405788363
"PGF",0.00355656900008287,0.00442202479771438,0.00482363581549593
"IFITM2",0.00346903030790114,0.00307748042041281,0.00889357853482062
"CYR61",0.00318823340355805,0.00484462301689092,0.0107024419656316
"COX4I2",0.00306026422989029,0.00761123699763361,0.00165812481157673
"CCDC80",0.00305324687806055,0.00592209342276558,0.00587880615013566
"S100A4",0.00282804070530109,0.00347357954519392,0.0117576123002713
"IGFBP6",0.00279547226012212,0.00924523373894284,0.0110039192041001
"FHL1",0.00278301325152286,0.0042291562675992,0.00889357853482062
"MT-CO1",0.00275749171338619,0.00539267089013418,0.00904431715405487
"BGN",0.00252777758373805,0.00364359685221803,0.00648176062707266
"NOV",0.00250795495513822,0.00322553201617911,0.00919505577328912
"AGT",0.00241041995556011,0.00251457553706349,0.00406994271932469
"JUN",0.00240890267139336,0.00459872027280314,0.00889357853482062
"CCL19",0.00238457156125612,0.00232221602346706,0.00211034066927947
"IGFBP4",0.00231039759628817,0.00513832024092889,0.00542659029243292
"HSPA1A",0.00216187723179851,0.00414202711399244,0.00798914681941513
"IGFBP2",0.00212354726899929,0.00310773288843055,0.00949653301175761
"GSN",0.00210904580284085,0.00336916473742118,0.00738619234247814
"PCOLCE",0.00207567901715691,0.000999174417755301,0.00271329514621646
"MT-CO2",0.0020520341475764,0.00293504039000899,0.00587880615013566
"HLA-B",0.00204215308802071,0.00212355821448127,0.00497437443473018
"ASPN",0.0020319007520374,0.00230763418785186,0.00859210129635212
"EFEMP1",0.00195617784909517,0.00166811918230982,0.00738619234247814
"B2M",0.00182779088014452,0.00381653059069587,0.00587880615013566
"C2orf40",0.00180872899222304,0.00247068914602503,0.00557732891166717
"VCAN",0.00176826161044203,0.00275494310847327,0.00618028338860416
"CRISPLD2",0.00172630212763398,0.00528656482874021,0.000753693096171239
"C11orf96",0.00171654558471345,0.00285261220096561,0.0110039192041001
"SOD3",0.00169274611863647,0.00174996421372382,0.00723545372324389
"AEBP1",0.00168078779982161,0.00195838163042647,0.00753693096171239
"S100A10",0.00167382273798333,0.00264223157268495,0.00723545372324389
"RPL37A",0.00166589599499787,0.00391887362886528,0.00723545372324389
"C1R",0.00150589771505965,0.00355557092890873,0.0069339764847754
"NDUFA4",0.00146834877935686,0.00462573369099856,0.0066324992463069
"TMSB4X",0.00140463788428427,0.00153904803251822,0.00602954476936991
"CSRP2",0.00139903918265747,0.00217084673362009,0.00422068133855894
"SPINT2",0.00134531506386242,0.00165284000210527,0.00467289719626168
"COL14A1",0.0013044878604847,0.00152559134052551,0.00633102200783841
"PCDH7",0.00127670141372153,0.00179123588420561,0.00361772686162195
"SEPT4",0.00121831885128983,0.00235982743898827,0.00301477238468496
"TPM1",0.00115682704552012,0.00240123082654078,0.00633102200783841
"EGR1",0.00114247833958755,0.00106871797539277,0.00331624962315345
