"Feature","Gain","Cover","Frequency"
"CCL4",0.311982675770192,0.107914449952388,0.0389288663442256
"GNLY",0.12724304137065,0.0578002944378121,0.0266013920018875
"RPS3A",0.0711629925439464,0.0194746320515598,0.00365695411112422
"NKG7",0.0606652219596814,0.0481758423699532,0.0193464669104636
"CCL5",0.0477048871340752,0.0591602907684215,0.0215288427509732
"MKI67",0.0262184329673613,0.0138912905763037,0.00253627462545712
"GZMK",0.024155493971354,0.0242952833233495,0.00979119971688097
"STMN1",0.0192556576810124,0.0133636102625347,0.00271322401793087
"GZMA",0.0153392197898549,0.0155371975238444,0.00495458298926507
"CCL4L2",0.0144857853681172,0.0250376210426289,0.0131532381738823
"IL7R",0.00864834749212476,0.0152837207698374,0.00979119971688097
"FGFBP2",0.00544710632215597,0.0115497079954325,0.00330305532617671
"RPL34",0.00517577321325622,0.00453978248613902,0.0025952577562817
"RPL32",0.0047327048157791,0.0045019985271133,0.00241830836380795
"XCL1",0.00403571720538426,0.0101464725194162,0.0044827179426684
"TPT1",0.00332222314523326,0.00630974450553908,0.0033620384570013
"ZFP36L2",0.00325213579019157,0.0066548134435467,0.00383390350359797
"GAPDH",0.00316892898990676,0.00306825534287236,0.00306712280287838
"B2M",0.00296638181685388,0.00285234210851848,0.00235932523298337
"IL32",0.00295434252628205,0.0034664251481859,0.00294915654122921
"HMGB2",0.00295163356233253,0.00334499658267655,0.00289017341040462
"GZMH",0.00277739749035603,0.00869185890603775,0.00359797098029963
"AREG",0.00274637742533013,0.00327931340629969,0.00359797098029963
"ACTB",0.00271489564142994,0.00356250268541419,0.00389288663442256
"GZMB",0.00241386249501645,0.00715001635698982,0.0048366167276159
"XCL2",0.00241075272535646,0.00798406085871782,0.00294915654122921
"CST7",0.00235861120249361,0.0053143263727365,0.0033620384570013
"BIRC5",0.00226139422914992,0.000796625668870832,0.000117966261649168
"TYMS",0.00223489104240628,0.00704297840400876,0.000884746962368763
"RPL21",0.00199682001001839,0.00375441029728336,0.00165152766308836
"CCL3",0.00198221669684391,0.00701621641361397,0.00265424088710629
"CTSW",0.00196615946349883,0.00588497209675511,0.0048366167276159
"CD2",0.00184494982710176,0.00570528273120189,0.00324407219535213
"NUSAP1",0.00180467924768969,0.000685828799221203,0.00123864574731627
"DUSP2",0.00174910797933489,0.00602954529509971,0.00442373481184381
"RPS6",0.00167325437195373,0.00231094225872211,0.00141559513979002
"KLRD1",0.00147929711802102,0.00479840866385598,0.00294915654122921
"TUBA1B",0.0013943827138642,0.00285289483334721,0.00306712280287838
"FOS",0.00136704942171368,0.00259651333396369,0.0037159372419488
"JUNB",0.00136644959423403,0.00272523291295628,0.00324407219535213
"KLRB1",0.00133420196177282,0.00244365276619741,0.00159254453226377
"TSC22D3",0.0013132046563032,0.00383409325043365,0.00312610593370296
"RPL13A",0.00131063074803196,0.00169658585921974,0.00194644331721128
"RPS12",0.00125445645389297,0.00497052402281537,0.00247729149463253
"TMSB4X",0.00124482708579571,0.00195000106034856,0.00265424088710629
"TYROBP",0.00119410015849531,0.00226456791996796,0.00123864574731627
"RPL37",0.00113944164264438,0.000685948714736898,0.000884746962368763
"CXCR4",0.00111129503618584,0.00246810927602544,0.00265424088710629
"S100A4",0.00108292861897859,0.00195977645808916,0.00165152766308836
"PCLAF",0.00104904679827241,0.00439461727921824,0.000471865046596673
"RPL30",0.00101347801729629,0.00301557008260154,0.00153356140143919
"RPL7",0.000997352093092232,0.000536605918979294,0.00159254453226377
"SH3BGRL3",0.000990964497406176,0.000985505930037029,0.00165152766308836
"RPS23",0.000943814728361759,0.00197976262758665,0.00129762887814085
"CD8B",0.000920900766204877,0.00181606137192208,0.00129762887814085
"CD69",0.000877180742652412,0.00262070411551281,0.00383390350359797
"RGCC",0.000862389456397187,0.000991161038164787,0.00188746018638669
"EEF1A1",0.000847061581865818,0.000896069723169384,0.00218237584050961
"CD8A",0.000826272166191617,0.00213635702797257,0.00141559513979002
"GTSE1",0.000825141638223739,0.000175653132525785,5.89831308245842e-05
"UBC",0.000818303445040552,0.0016051195333399,0.00188746018638669
"RPL10",0.000806778645368012,0.00199881837278552,0.00182847705556211
"DUSP4",0.000801407674394792,0.00130315787745955,0.000530848177421257
"RPL41",0.000800877482727737,0.000648077868569133,0.00194644331721128
"HMGN2",0.000780914174579732,0.000470003140100483,0.000766780700719594
"CENPF",0.000761869070591069,0.000806073597793139,0.0014745782706146
"PFN1",0.000753298995496826,0.000459821549662353,0.00135661200896544
"HLA-B",0.000752892520064666,0.000428993284807469,0.00171051079391294
"RPS13",0.000744623085597643,0.00239883151164967,0.00117966261649168
"MATK",0.000724531699890363,0.00118464369060239,0.00135661200896544
"RPL5",0.000700713126368456,0.000938137800047696,0.0014745782706146
"SRGN",0.000689851102624104,0.000572235402161729,0.00123864574731627
"MT-CO1",0.00067589973475561,0.00219177563637788,0.00247729149463253
"RPS27",0.000665970525607269,0.00068048589679967,0.00153356140143919
"CFL1",0.000665804431837154,0.000423804045643268,0.00135661200896544
"TOP2A",0.00064800368638267,0.000108044669382356,0.000117966261649168
"RPS18",0.000635947095890803,0.000780040796321912,0.00200542644803586
"IFNG",0.00061762757090139,0.000741651379666347,0.00135661200896544
"RPL3",0.000600901201363399,0.00116423328165396,0.00135661200896544
"ANXA1",0.000594727601326892,0.00122348605887462,0.00212339270968503
"LTB",0.000588937616113922,0.00269694611264465,0.00283119027958004
"MT-CO2",0.000579911164767746,0.00179646753946916,0.00194644331721128
"HLA-DRB1",0.00056690202468705,0.000311691107900414,0.000884746962368763
"H3F3B",0.000556676572580239,0.000611799077586533,0.00153356140143919
"RRM2",0.000538925946011748,0.00268111726457288,0.000117966261649168
"CD3D",0.00052868944521651,0.00016883250751367,0.000943730093193347
"ITM2C",0.000522246060922768,0.000932032179899053,0.00106169635484251
"RPL23",0.000500550543764378,0.000302860271603216,0.00129762887814085
"RPL29",0.00049908146799155,0.000471146247108211,0.000884746962368763
"RPS16",0.000494004377592762,0.00075153774773811,0.000825763831544178
"MT-ND4",0.000491663909208931,0.00222569652676131,0.00171051079391294
"RPS5",0.000489708981900239,0.00108994171007213,0.00135661200896544
"MYL12A",0.00048308085917466,0.000271372252473925,0.00117966261649168
"MT-CO3",0.000482703168483405,0.000569081442693104,0.0011206794856671
"ASPM",0.00046820176492193,0.00241061213201474,0.000412881915772089
"RPL13",0.000454250324364696,0.000698701983173726,0.00135661200896544
"MALAT1",0.000447595997348471,0.000850960971641917,0.00165152766308836
"HLA-C",0.000442848732105874,0.00230425976800187,0.00176949392473753
"KLF2",0.000442828488291879,0.000432960724361571,0.00117966261649168
"NFKBIA",0.000441769558732563,0.000740772061771653,0.00218237584050961
"RPS8",0.000441269641925576,0.000563410258254686,0.00106169635484251
"CLSPN",0.000440414422559147,0.000827267116987258,0.000766780700719594
"TRDC",0.000436820800303638,0.000688494589318682,0.000530848177421257
"KLF6",0.000436252265326415,0.00040330840722685,0.00171051079391294
"TRBC2",0.000433834092679892,0.00130012377095288,0.0022413589713342
"OFD1",0.000432736565399818,0.000216868555040214,0.000176949392473753
"CCNB2",0.000424505874031031,0.00293617212428146,0.000294915654122921
"CORO1A",0.000416416089784069,0.000446400332411444,0.00123864574731627
"RGS1",0.000416409729519349,0.000682972282776642,0.000943730093193347
